PublicationYear,PublicationClone,PublicationTarget,PublicationCitation,PublicationPubmed
"2016","N393/76","Beta4-spectrin","VK Bhosle  -  search.proquest.com",""
"2016","N393/76","Beta4-spectrin","T Ponchek - J. Marshall Rev. Intell. Prop. L. -  HeinOnline",""
"2016","K28/43","PSD-95","RJ Armstrong  -  prism.ucalgary.ca",""
"2016","N46/30","ADAM22 (cytoplasmic)","RA Thomas  -  search.proquest.com",""
"2016","N104/32","SNAT1","L Bonet  -  theses.hal.science",""
"2016","K64/15","SAP97","soseonggwa, gieoge  -  s-space.snu.ac.kr",""
"2016","L6/60","Slo1/BKAlpha","ND Detweiler -  journals.sagepub.com","28090300"
"2016","L6/60","Slo1/BKAlpha maxi-K+ channel","J Zhang  -  search.proquest.com",""
"2016","K28/43 or K28/74","PSD-95","PH Hsu -  Wiley Online Library","28098200"
"2016","N241A/34","LRRK2/Dardarin","Q Wang -  ncbi.nlm.nih.gov","29166931"
"2016","review article","review article","A Bandrowski -  Springer","26594330"
"2016","review article","review article","M Pauthner -  Taylor & Francis","26909869"
"2016","K14/16 or L76/36, K65/35","Kv1.2, CASPR/Neurexin IV","S Schneider -  Wiley Online Library","27615452"
"2016","N295B/66","Arl13b","JR Diaz Garcia -","26305592"
"2016","N28/9","VGlut1","A Chrysostomou  -  theses.ncl.ac.uk",""
"2016","K28/43, L21/32","PSD-95, GluA2/GluR2","Klaassen, R., et al. 2016. Nat Commun. 7:10682.","26931375"
"2016","K28/43","PSD-95","De Rossi, P., et al. 2016. Mol Neurodegener. 11:59.","27488240"
"2016","K65/35, K69/3, K74/71, K87A/10, N56/21, N106/36, N106/65","CASPR/Neurexin IV, Nav1.2, Nav1.1, Nav1.6, FGF14/FHF4, Ankyrin-G, Ankyrin-G","Alshammari, M., et al. 2016. Front Cell Neurosci. 10:5.","26909021"
"2016","N86/8","GFP","Frost, B., et al. 2016. Curr Biol. 26:129-136.","26725200"
"2016","K65/35, K14/16 or L76/36","CASPR/Neurexin IV, Kv1.2","Kawabata, S., et al. 2016. Stem Cell Reports. 6:1-8.","26724902"
"2016","N86","GFP","Mansour, M., et al. 2016. Oncotarget. 7:4993-5006.","26701851"
"2016","K28/43, L21/32, L42/17, L102/45, N18/30","PSD-95, GluA2/GluR2, SynDIG1/Tmem90b, SynDIG4/Prrt1, PSD-93/Chapsyn-110","Kirk, L., et al. 2016. J Comp Neurol. 524:2266-80.","26660156"
"2016","L23/27","Kv1.3","Jimenez-Perez, L., et al. 2016. J Biol Chem. 291:3569-80.","26655221"
"2016","K28/43, K64/15","PSD-95, SAP97","Nagura, H., et al. 2016. Eur J Neurosci. 43:618-25.","26684546"
"2016","K28, N28/9","PSD-95, VGlut1","Coulombe, K., et al. 2016. J Nutr Biochem. 30:133-42.","27012630"
"2016","K28, N23B/49, N59, N308/48, N327, L45/30 or N244/5","PSD-95, Pan-Shank, GluN2B/NR2B, GluN1/NR1, GluN2A/NR2A, SynCAM","Lee, N., et al. 2016. Biochim Biophys Acta. 1862:284-295.","26675527"
"2016","K13/31, , K60/73, K75/41, , N112B/14, N124B/38","Kv1.4, Kv4.2, KChIP2, Kv4.3, Kv2.1, Kir2.1, Kir2.2","Zhang, X., et al. 2016. Basic Res Cardiol. 111:4.","26611208"
"2016","L20/8","PICK1","Zhu, J., et al. 2016. Neurochem Res. 41:795-803.","26566795"
"2016","K9/40, K14/16, K47/42, N43/6","Kvbeta1.1, Kv1.2, Kvbeta1.2, Kv7.4/KCNQ4","Cox, R. and Fromme, S. 2016. Cell Biochem Biophys. 74:263-76.","27286858"
"2016","N70/28, N114/10","HCN1, HCN4","Farshi, P., et al. 2016. J Comp Neurol. 524:2059-79.","26587737"
"2016","N3/26, N11/33","Slo2.2/Slack, Slo2.1/Slick","Rizzi, S., et al. 2016. J Comp Neurol. 524:2093-116.","26587966"
"2016","K28","PSD-95","Hung, C., et al. 2016. J Neurosci. 36:2027-43.","26865625"
"2016","N295B/66","Arl13b","Stewart, K., et al. 2016. PLoS Genet. 12:e1005785.","26859289"
"2016","N206A/8","GFAP","Zhang, W., et al. 2016. eLife. 5:e11324.","26883496"
"2016","K65/35, K74/71, N106, N419","CASPR/Neurexin IV, Nav1.1, Ankyrin-G, Pan-Nav1","Kim, K. and Rutherford, M. 2016. J Neurosci. 36:2111-8.","26888923"
"2016","A12/18, L11A/41","Pan-Neurofascin (extracellular), Pan-Neurofascin","Benned-Jensen, T., et al. 2016. J Neurosci. 36:2261-6.","26888935"
"2016","K69/3, K74/71, N56/21, N235/22","Nav1.2, Nav1.1, FGF14/FHF4, Pan-FHF-A","Bosch, M., et al. 2016. Channels (Austin). 10:297-312.","26889602"
"2016","N295B/66","Arl13b","Bhattacharyya, S., et al. 2016. Sci Rep. 6:20727.","26884322"
"2016","K39/25, K89/34","Kv2.1, Kv2.1","Frazzini, V., et al. 2016. Cell Death Dis. 7:e2100.","26890139"
"2016","L21/32","GluA2/GluR2","Wei, J., et al. 2016. J Neurosci. 36:2119-30.","26888924"
"2016","N154/32","JMJD2A","Neault, M., et al. 2016. Cell Rep. 14:1966-78.","26904954"
"2016","K28","PSD-95","Barre, A., et al. 2016. Proc Natl Acad Sci U S A. 113:E1382-91.","26903620"
"2016","K28","PSD-95","Zhou, C., et al. 2016. J Neurosci. 36:2543-53.","26911699"
"2016","N56/21","FGF14/FHF4","Hsu, W., et al. 2016. FASEB J. 30:2171-8.","26917740"
"2016","K28/43","PSD-95","Xu, C., et al. 2016. Neuropharmacology. 109:7-17.","26921771"
"2016","N421A/85","ANO5/TMEM16E","Griffin, D., et al. 2016. Hum Mol Genet. 25:1900-1911.","26911675"
"2016","review article","review article","Pauthner, M., et al. 2016. MAbs. 8:617-652.","26909869"
"2016","N147/6, N182/17, N183/15, N195A/16","Pan-QKI, QKI-6, QKI-7, QKI-5","de Bruin, J., et al. 2016. Sci Rep. 6:21643.","26905650"
"2016","N59/36, N308/48","GluN2B/NR2B, GluN1/NR1","Rambousek, L., et al. 2016. Neuropharmacology. 105:594-606.","26930443"
"2016","K28/43","PSD-95","Maxeiner, S., et al. 2016. EMBO J. 35:1098-114.","26929012"
"2016","K28/43, N59/20, N95/35","PSD-95, GluN2B/NR2B, GABA(A)R Alpha1","Yang, P., et al. 2016. Exp Neurol. 279:178-186.","26946222"
"2016","L23/27","Kv1.3","Perez-Verdaguer, M., et al. 2016. Sci Rep. 6:22453.","26931497"
"2016","L21/32","GluA2/GluR2","Mei, Y., et al. 2016. Nature. 530:481-4.","26886798"
"2016","K28/43, N355/1","PSD-95, GluA1/GluR1","Bellizzi, M., et al. 2016. J Neurosci. 36:1336-46.","26818520"
"2016","L36/12","CNGA1 + CNGA3","Hanke-Gogokhia, C., et al. 2016. J Biol Chem. 291:7142-55.","26814127"
"2016","N43/6","Kv7.4/KCNQ4","Jepps, T., et al. 2016. Br J Pharmacol. 173:1478-90.","26802314"
"2016","N133/21","RGS14","Alexander, G., et al. 2016. Nat Commun. 7:10300.","26806606"
"2016","K91/36","WAVE1/SCAR","Hsiao, K., et al. 2016. J Neurosci. 36:1564-76.","26843638"
"2016","N206A/8","GFAP","Wang, L., et al. 2016. J Neurosci. 36:1445-55.","26843629"
"2016","K14/16, N106/36","Kv1.2, Ankyrin-G","Hivert, B., et al. 2016. Glia. 64:840-52.","26840208"
"2016","L6/60","Slo1/BKAlpha","Singh, H., et al. 2016. Neuroscience. 317:76-107.","26772433"
"2016","N28/9","VGlut1","Jiang, Y., et al. 2016. J Neurosci. 36:193-203.","26740661"
"2016","N133/21 or N133/35","RGS14","Piskorowski, R., et al. 2016. Neuron. 89:163-76.","26748091"
"2016","K28","PSD-95","Goldschmidt, H., et al. 2016. Cell Rep. 14:200-7.","26748701"
"2016","K28/43","PSD-95","Vessoni, A., et al. 2016. Hum Mol Genet. 25:1271-80.","26755826"
"2016","N231B/34","LRRK2/Dardarin","Belluzzi, E., et al. 2016. Mol Neurodegener. 11:1.","26758690"
"2016","N70/28","HCN1","Gessele, N., et al. 2016. PLoS One. 11:e0146428.","26760498"
"2016","L23/27","Kv1.3","Xu, L., et al. 2016. Exp Neurol. 277:268-274.","26784004"
"2016","L21/32","GluA2/GluR2","Miyamoto, T., et al. 2016. J Biol Chem. 291:1719-34.","26589795"
"2016","K87A/10","Nav1.6","Jones, J., et al. 2016. Neurobiol Dis. 89:36-45.","26807988"
"2016","N37A/10, N43/6, N152B/23","Kv7.1/KCNQ1, Kv7.4/KCNQ4, VDAC1","Testai, L., et al. 2016. Cardiovasc Res. 110:40-50.","26718475"
"2016","K28, N95/35","PSD-95, GABA(A)R, Alpha1","Hiu, T., et al. 2016. Brain. 139:468-80.","26685158"
"2016","N178A/9","Cav3.1","Devergnas, A., et al. 2016. J Neurophysiol. 115:470-85.","26538609"
"2016","L23/27","Kv1.3","Martinez-Marmol, R., et al. 2016. Cell Mol Life Sci. 73:1515-28.","26542799"
"2016","N22/21, N23B/6, N23B/49, N367/62","Shank1, Shank2, Pan-Shank, Shank3","MacGillavry, H., et al. 2016. Eur J Neurosci. 43:179-93.","26547831"
"2016","A12/18, N86/8","Pan-Neurofascin (extracellular), GFP","Norkett, R., et al. 2016. J Biol Chem. 291:613-29.","26553875"
"2016","K65/35","CASPR/Neurexin IV","Seidl, A. and Rubel, E. 2016. Glia. 64:487-94.","26556176"
"2016","N114/10","HCN4","Ichinose, T. and Hellmer, C. 2016. J Physiol. 594:883-94.","26553530"
"2016","K28/43, N70/28","PSD-95, HCN1","Masri, R., et al. 2016. J Comp Neurol. 524:1839-58.","26559914"
"2016","N43/6","Kv7.4/KCNQ4","Sihn, C., et al. 2016. J Biol Chem. 291:2499-509.","26515070"
"2016","K28/43","PSD-95","Ramirez, V., et al. 2016. Neural Plast. 2016:4258171.","26881110"
"2016","K56A/50","CASK","Kamijo, A., et al. 2016. Histochem Cell Biol. 145:81-92.","26496923"
"2016","N133/21 or N133/35","RGS14","Haussler, U., et al. 2016. Hippocampus. 26:577-88.","26482541"
"2016","K28/43, N28/9, N29/29","PSD-95, VGlut1, VGlut2","Slater, P., et al. 2016. Eur J Neurosci. 43:220-9.","26503565"
"2016","K28/43","PSD-95","Bolte, P., et al. 2016. J Mol Neurosci. 58:178-92.","26453550"
"2016","N52A/42","Mortalin/GRP75","Hwang, J., et al. 2016. J Ginseng Res. 40:278-84.","27616904"
"2016","N152B/23","VDAC1","Piroli, G., et al. 2016. Mol Cell Proteomics. 15:445-61.","26450614"
"2016","N95/35","GABA(A)R, Alpha1","Dolnik, A., et al. 2016. J Neurochem. 136:28-35.","26364583"
"2016","K28","PSD-95","Nageshappa, S., et al. 2016. Mol Psychiatry. 21:178-88.","26347316"
"2016","K28","PSD-95","Niere, F., et al. 2016. Mol Cell Proteomics. 15:426-44.","26419955"
"2016","K28, N23B/49","PSD-95, Pan-Shank","Pinheiro, S., et al. 2016. Mol Neurobiol. 53:4745-53.","26328538"
"2016","K14/16, K89/34","Kv1.2, Kv2.1","Peltola, M.A., et al. 2016. Schizophr Bull. 42:191-201.","26240432"
"2016","N103/39","Aldh1L1","Zhang, P., et al. 2016. Glia. 64:63-75.","26295203"
"2016","N19/2","SAP102","Farzana, F., et al. 2016. Mol Neurobiol. 53:2112-2123.","25934101"
"2016","N170A","Neurexin-1-Beta","Fang, M., et al. 2016. Mol Neurobiol. 53:270-84.","25428619"
"2016","review article","review article","Gong, B., et al. 2016. N Biotechnol. 33:551-64.","26644354"
"2016","N221/17","TrpV1","Martin, G., et al. 2016. Lipids. 51:1007-20.","27450559"
"2016","N114/10","HCN4","Yechikov, S., et al. 2016. Stem Cells. 34:2670-2680.","27434649"
"2016","N244/5","SynCAM4","Chen, M., et al. 2016. Glia. 64:2247-2262.","27658374"
"2016","L6/60","Slo1/BKAlpha","Detweiler, N., et al. 2016. Pulm Circ. 6:563-575.","28090300"
"2016","N206","GFAP","Hopperton, K., et al. 2016. J Neuroinflammation. 13:257.","27688126"
"2016","K28/86","Pan-MAGUK","Isoo, N., et al. 2016. Sci Rep. 6:34196.","27677249"
"2016","K60/73, K39/25 or K89/34 or L80/21 or L83/11","KChIP2, Kv2.1","Khandekar, A., et al. 2016. Circ Res.  119:1324-1338.","27697822"
"2016","K28/43, L20/8, L21/32, L42/17, N18/30","PSD-95, PICK1, GluA2/GluR2, SynDIG1/Tmem90b, PSD-93/Chapsyn-110","Chenaux, G., et al. 2016. eNeuro. 3.","27800545"
"2016","N86/38","GFP","Schwenk, B., et al. 2016. EMBO J. 35:2350-2370.","27621269"
"2016","K87A/10","Nav1.6","Kim, S., et al. 2016. J Neurosci. 36:9633-46.","27629714"
"2016","N154/32","JMJD2A","Carbonneau, M., et al. 2016. Nat Commun. 7:12700.","27624942"
"2016","N206","GFAP","Ueki, Y., et al. 2016. eNeuro. 3.","27699209"
"2016","N23B/49","Pan-Shank","Sawicka, K., et al. 2016. Proc Natl Acad Sci U S A. 113:E6290-E6297.","27663742"
"2016","N56/21, N235/22","FGF14/FHF4, Pan-FHF-A","Dover, K., et al. 2016. Nat Commun. 7:12895.","27666389"
"2016","N81/2","GABA(B)R2","Wolfe, S., et al. 2016. Nat Commun. 7:12867.","27666021"
"2016","K28, L21/32","PSD-95, GluA2/GluR2","Reichard, E., et al. 2016. Pharm Res. 33:2954-2966.","27620175"
"2016","K14/16 or L76/36, K65/35","Kv1.2, CASPR/Neurexin IV","Schneider, S., et al. 2016. Glia. 64:2201-2218.","27615452"
"2016","K57/1 or L28/4, N71/37","Kv4.2, HCN2","Brewster, A., et al. 2016. Epilepsia. 57:1907-1915.","27555091"
"2016","K28/43, N28/9, N355/1","PSD-95, VGlut1, GluA1/GluR1","Loh, K., et al. 2016. Cell. 166:1295-1307.","27565350"
"2016","N28/9","VGlut1","Kyung, J., et al. 2016. Sci Rep. 6:31997.","27557559"
"2016","N295B/66","Arl13b","Coy, S., et al. 2016. Mod Pathol. 29:1446-1459.","27562488"
"2016","A12/18","Pan-Neurofascin (extracellular)","Guo, X., et al. 2016. Proc Natl Acad Sci U S A. 113:E5318-27.","27559088"
"2016","N28/9","VGlut1","Arons, M., et al. 2016. J Neurosci. 36:9124-34.","27581454"
"2016","K65/35, K87A/10, N106/36","CASPR/Neurexin IV, Nav1.6, Ankyrin-G","Marin, M., et al. 2016. J Neurosci. 36:9148-60.","27581456"
"2016","A12/18","Pan-Neurofascin (extracellular)","Farias, G., et al. 2016. Methods Mol Biol. 1496:13-30.","27631998"
"2016","N93A/49","GABA(B)R1","Zemoura, K., et al. 2016. J Biol Chem. 291:21682-21693.","27573246"
"2016","N206","GFAP","Kalani, A., et al. 2016. Int J Biochem Cell Biol. 79:360-369.","27594413"
"2016","K28/43","PSD-95","Silva, M., et al. 2016. Stem Cell Reports. 7:325-40.","27594585"
"2016","K28/43","PSD-95","Arsenault, J., et al. 2016. Hum Gene Ther. 27:982-996.","27604541"
"2016","N68/6, N134/12","Nav1.7, Nav1.8","Yanpallewar, S., et al. 2016. Sci Rep. 6:32957.","27604420"
"2016","N154/32","JMJD2A","Wang, L., et al. 2016. Cell Rep. 16:3016-27.","27626669"
"2016","L6","Slo1/BKAlpha","Illison, J., et al. 2016. Diabetes. 65:3621-3635.","27605626"
"2016","K28, N86, N245/44","PSD-95, GFP, Thioredoxin","Park, J., et al. 2016. Neuron. 92:75-83.","27667007"
"2016","K28/43, N59/36","PSD-95, GluN2B/NR2B","Wang, S., et al. 2016. Neuron. 91:777-91.","27537483"
"2016","K28/43, N308/48","PSD-95, GluN1/NR1","Qin, L., et al. 2016. Neurobiol Dis. 95:194-203.","27475724"
"2016","K28/43","PSD-95","Lee, W., et al. 2016. eLife. 5:e19264.","27863209"
"2016","N422/18","GluN2C/NR2C","Chung, C., et al. 2016. Sci Rep. 6:37033.","27845401"
"2016","K28/43, L21/32, N59/36","PSD-95, GluA2/GluR2, GluN2B/NR2B","Gonzalez-Lozano, M., et al. 2016. Sci Rep. 6:35456.","27748445"
"2016","K28/43, L21/32, N28/9, N245/1","PSD-95, GluA2/GluR2, VGlut1, TARPGamma2/Stargazin","Rademacher, N., et al. 2016. Sci Rep. 6:35283.","27756895"
"2016","K28, N206A/8","PSD-95, GFAP","Ehmsen, J., et al. 2016. Sci Rep. 6:35592.","27759100"
"2016","N95/35","GABA(A)R, Alpha1","Wang, J., et al. 2016. Sci Rep. 6:35294.","27762395"
"2016","A12/18, N106/43, N106/65","Pan-Neurofascin (extracellular), Ankyrin-G, Ankyrin-G","Dumitrescu, A., et al. 2016. Front Cell Neurosci.  10:268.","27932952"
"2016","N28/9","VGlut1","Song, M., et al. 2016. Neurobiol Dis. 98:9-24.","27884724"
"2016","N86","GFP","Vicente Miranda, H., et al. 2016. Sci Rep. 6:36798.","27857176"
"2016","K39/25 or K89/34 or L80/21 or L83/11","Kv2.1","Romer, S., et al. 2016. Physiol Rep. 4.","27884958"
"2016","K13/31 or L71/5, K14/16 or L76/36","Kv1.4, Kv1.2","Liang, L., et al. 2016. Sci Rep. 6:37704.","27874088"
"2016","L6/60","Slo1/BKAlpha","Lin, M., et al. 2016. J Neurosci. 36:10376-10391.","27707972"
"2016","N219/5","RBM17/SPF45","Tan, Q., et al. 2016. Hum Mol Genet. 25:5083-5093.","28007900"
"2016","N59/36","GluN2B/NR2B","Tian, M. and Ye, S. 2016. Sci Rep. 6:34751.","27713495"
"2016","N97A/31","Neuroligin-1","Hanus, C., et al. 2016. eLife. 5:e20609.","27677849"
"2016","K28/43","PSD-95","Biswas, M., et al. 2016. Stem Cell Reports. 7:316-24.","27594586"
"2016","L6/60","Slo1/BKAlpha","Tajhya, R., et al. 2016. Cell Death Dis. 7:e2426.","27763639"
"2016","N52A/42","Mortalin/GRP75","Hawkins, N., et al. 2016. PLoS Genet. 12:e1006398.","27768696"
"2016","N230/21","MMACHC","Bassila, C., et al. 2016. Biochim Biophys Acta. 1863:103-112.","27771510"
"2016","N308/48","GluN1/NR1","Bagasrawala, I., et al. 2016. Front Neurosci. 10:435.","27746712"
"2016","K28, L20/8","PSD-95, PICK1","Farooq, M., et al. 2016. Neuropharmacology. 113:426-433.","27793771"
"2016","N144/14","6xHis","Cooper, S., et al. 2016. eLife. 5:e18529.","27787195"
"2016","N295B/66","Arl13b","Moore, B., et al. 2016. Proc Natl Acad Sci U S A. 113:13069-13074.","27799542"
"2016","L6","Slo1/BKAlpha","Kuntamallappanavar, G. and Dopico, A. 2016. J Gen Physiol. 148:419-440.","27799321"
"2016","N59/20, N327/95","GluN2B/NR2B, GluN2A/NR2A","Pan, M., et al. 2016. J Clin Invest.  126:4516-4526.","27797341"
"2016","K55/82, K57/1 or L28/4, K75/41","Pan-KChIP, Kv4.2, Kv4.3","Rizwan, A., et al. 2016. J Neurosci. 36:11196-11207.","27807163"
"2016","N28/9","VGlut1","Gong, J., et al. 2016. Proc Natl Acad Sci U S A. 113:E7590-E7599.","27821736"
"2016","L21/32","GluA2/GluR2","Kato, A., et al. 2016. Nat Med. 22:1496-1501.","27820603"
"2016","N86","GFP","Akter, K., et al. 2016. Int J Biochem Cell Biol. 84:1-13.","28040436"
"2016","N106","Ankyrin-G","Ba, W., et al. 2016. Hum Mol Genet. 25:892-902.","26721934"
"2016","N207/27","LRP4 (extracellular)","Sun, X., et al. 2016. Nat Neurosci. 19:1010-8.","27294513"
"2016","L21/32, N23B/49","GluA2/GluR2, Pan-Shank","Yokoi, N., et al. 2016. J Neurosci. 36:6431-44.","27307232"
"2016","N241A/34","LRRK2/Dardarin","Fraser, K., et al. 2016. Mov Disord. 31:1543-1550.","27297049"
"2016","K13/31 or L71/5, K57/1 or L28/4, K75/41","Kv1.4, Kv4.2, Kv4.3","Schilling, J., et al. 2016. Basic Res Cardiol. 111:28.","27023865"
"2016","N120A/9","Neuregulin-HBD","Ness, J., et al. 2016. Glia. 64:977-92.","27017927"
"2016","N147/6, N182/17, N183/15, N195A/16","Pan-QKI, QKI-6, QKI-7, QKI-5","de Bruin, J., et al. 2016. Nat Commun. 7:10846.","27029405"
"2016","K56A/50","CASK","Srivastava, S., et al. 2016. Acta Neuropathol Commun. 4:30.","27036546"
"2016","N295B/66","Arl13b","Guen, V., et al. 2016. Cell Cycle. 15:678-88.","27104747"
"2016","N87/25","GABA(A)R, Beta3","Nakamura, Y., et al. 2016. J Biol Chem. 291:12394-407.","27044742"
"2016","N56/21","FGF14/FHF4","Pablo, J., et al. 2016. Proc Natl Acad Sci U S A. 113:E2665-74.","27044086"
"2016","N295B/66","Arl13b","Emechebe, U., et al. 2016. eLife. 5:e07897.","27046536"
"2016","N367/62","Shank3","Bidinosti, M., et al. 2016. Science. 351:1199-203.","26847545"
"2016","N95/35, N398A/34","GABA(A)R, Alpha1, GABA(A)R, Alpha4","Purgianto, A., et al. 2016. Brain Res. 1642:336-43.","27060767"
"2016","N166A/26","OCRL/INPP5b","Clasadonte, J., et al. 2016. Neurobiol Dis. 91:315-325.","27060558"
"2016","N106/36","Ankyrin-G","Darbelli, L., et al. 2016. J Neurosci. 36:4106-2.","27053216"
"2016","N308/48, N355/1","GluN1/NR1, GluA1/GluR1","Vingtdeux, V., et al. 2016. Sci Rep. 6:24250.","27066908"
"2016","K87A/10","Nav1.6","Gonzalez-Burguera, I., et al. 2016. Stem Cell Res. 16:541-51.","26985738"
"2016","L6/60","Slo1/BKAlpha","Whitt, J., et al. 2016. Nat Commun. 7:10837.","26940770"
"2016","N133/21 or N133/35","RGS14","Kay, K., et al. 2016. Nature. 531:185-90.","26934224"
"2016","K28","PSD-95","Takahashi, D., et al. 2016. Neurobiol Dis. 91:166-181.","26956396"
"2016","N18, N22/21, N23B/6, N28/9, N81, N69/46 or N367/62","PSD-93/Chapsyn-110, Shank1, Shank2, VGlut1, GABA(B)R2, Shank3","Du, F., et al. 2016. Hum Mol Genet. 25:1690-702.","26908602"
"2016","A12/18","Pan-Neurofascin (extracellular)","D'Este, E., et al. 2016. Sci Rep. 6:22741.","26947559"
"2016","N86","GFP","Yu, N., et al. 2016. Sci Rep. 6:22892.","26961175"
"2016","N77/15","TrpC4","Klipec, W., et al. 2016. Behav Brain Res. 306:117-127.","26988269"
"2016","N28/9","VGlut1","Su, J., et al. 2016. J Cell Biol. 212:721-36.","26975851"
"2016","K28","PSD-95","Hsu, P., et al. 2016. FEBS Open Bio. 6:349-57.","27239447"
"2016","N105/13, N106/20, N106/36","Ankyrin-B, Ankyrin-G, Ankyrin-G","Patzke, C., et al. 2016. J Exp Med. 213:499-515.","27001749"
"2016","N97A/31","Neuroligin-1","Um, J., et al. 2016. J Biol Chem. 291:10119-30.","27002143"
"2016","N295B/66","Arl13b","Pal, K., et al. 2016. J Cell Biol. 212:861-75.","27002170"
"2016","N295B/66","Arl13b","Li, L., et al. 2016. Nat Cell Biol. 18:418-30.","26999738"
"2016","K28","PSD-95","Seneviratne, U., et al. 2016. Proc Natl Acad Sci U S A. 113:4152-7.","27035958"
"2016","K28","PSD-95","Xu, F., et al. 2016. Mol Brain. 9:35.","27009068"
"2016","N152B/23","VDAC1","Ponnalagu, D., et al. 2016. Mitochondrion. 27:6-14.","26777142"
"2016","N18/30","PSD-93/Chapsyn-110","Li, X., et al. 2016. Stem Cell Dev. 25:803-13.","27021700"
"2016","K64/15","SAP97","Boccitto, M., et al. 2016. Neuroscience. 326:22-30.","27026592"
"2016","K60/73","KChIP2","Winther, S., et al. 2016. Sci Rep. 6:28760.","27349185"
"2016","A12/18, N106/20, N106/36","Pan-Neurofascin (extracellular), Ankyrin-G, Ankyrin-G","Sohn, P., et al. 2016. Mol Neurodegener. 11:47.","27356871"
"2016","N55/10, N178A/9","Cav3.2, Cav3.1","Liu, D., et al. 2016. Sci Rep. 6:28653.","27353765"
"2016","K28/43, L21/32, N87/25, N308/48","PSD-95, GluA2/GluR2, GABA(A)R, Beta3, GluN1/NR1","Deng, Y., et al. 2016. J Alzheimers Dis. 53:1419-1432.","27372643"
"2016","N138/6","LRRK2/Dardarin","Ma, B., et al. 2016. Hum Mol Genet. 25:3515-3523.","27378696"
"2016","N103/39","Aldh1L1","Tian, E., et al. 2016. Cell Rep. 16:781-92.","27396343"
"2016","L48A/9, N263/31","Cav1.3, Cav1.2","Philippart, F., et al. 2016. J Neurosci. 36:7234-45.","27383597"
"2016","K28/43","PSD-95","Ramirez, V., et al. 2016. J Biol Chem. 291:19092-107.","27402827"
"2016","L23/27","Kv1.3","Kang, J., et al. 2016. Proc Natl Acad Sci U S A. 113:8771-8776.","27439875"
"2016","N106/36","Ankyrin-G","Yang, S., et al. 2016. Cell Rep. 16:1518-26.","27452469"
"2016","K28, L42/17","PSD-95, SynDIG1/Tmem90b","Kaur, I., et al. 2016. J Neurosci. 36:7562-8.","27445135"
"2016","K28/86","Pan-MAGUK","Pei, W., et al. 2016. Sci Rep. 6:29946.","27425195"
"2016","N152B/23","VDAC1","Volpicelli-Daley, L., et al. 2016. J Neurosci. 36:7415-27.","27413152"
"2016","N28/9","VGlut1","Park, K., et al. 2016. J Neurosci. 36:7464-75.","27413156"
"2016","N86/8","GFP","Mori, K., et al. 2016. EMBO Rep. 17:1314-25.","27461252"
"2016","N327/95","GluN2A/NR2A","Xie, J., et al. 2016. J Biol Chem. 291:19364-73.","27458019"
"2016","K28/43, N23B/49","PSD-95, Pan-Shank","Kravchick, D., et al. 2016. EMBO J. 35:1923-34.","27458189"
"2016","K28/43, N19/2, N59/36, N86/8","PSD-95, SAP102, GluN2B/NR2B, GFP","Won, S., et al. 2016. Proc Natl Acad Sci U S A. 113:E4736-44.","27457929"
"2016","N147/6, N195A/16","Pan-QKI, QKI-5","Bin, J., et al. 2016. J Neurochem. 139:181-186.","27454326"
"2016","K65/35","CASPR/Neurexin IV","Doppler, K., et al. 2016. Brain. 139:2617-2630.","27474220"
"2016","K28/43, N23B/49, N127/31","PSD-95, Pan-Shank, Pan-SAPAP","Tang, A., et al. 2016. Nature. 536:210-214.","27462810"
"2016","L43/40","DLX1","Vinukonda, G., et al. 2016. Glia. 64:1987-2004.","27472419"
"2016","N74/25","TrpM7","Valinsky, W., et al. 2016. J Biol Chem. 291:20163-72.","27466368"
"2016","N154/32","JMJD2A","Black, J., et al. 2016. J Biol Chem. 291:4862-71.","26755726"
"2016","K28/43","PSD-95","Ferguson, R., et al. 2016. J Anat. 229:871-891.","27476503"
"2016","N59/36","GluN2B/NR2B","Lie, E., et al. 2016. Nat Commun. 7:12328.","27480238"
"2016","N295B/66","Arl13b","Kukic, I., et al. 2016. Cilia. 5:23.","27493724"
"2016","N59/20 or N59/36","GluN2B/NR2B","Jaramillo, T., et al. 2016. Autism Res. 10:42-65.","27492494"
"2016","K28/43, N81","PSD-95, GABA(B)R2","Hannan, S., et al. 2016. Cell Rep. 16:1962-73.","27498877"
"2016","N295B/66","Arl13b","Ha, S., et al. 2016. G3 (Bethesda). 6:2479-87.","27261005"
"2016","N241A/34","LRRK2/Dardarin","Perera, G., et al. 2016. Sci Rep. 6:31391.","27503089"
"2016","N295B/66","Arl13b","Caspary, T., et al. 2016. Methods Mol Biol. 1454:203-14.","27514924"
"2016","N116/14","Botch","Ord, D., et al. 2016. Biochim Biophys Acta. 1863:2668-2680.","27526673"
"2016","L21/32","GluA2/GluR2","Travaglia, A., et al. 2016. Neurobiol Learn Mem. 135:125-138.","27523749"
"2016","N86/38","GFP","Hyodo, T., et al. 2016. FEBS Lett. 283:3662-3671.","27521566"
"2016","N86/8","GFP","Mahoney, R., et al. 2016. eLife. 5:e16807.","27525480"
"2016","N59/20, N327/95","GluN2B/NR2B, GluN2A/NR2A","Chen, G., et al. 2016. Nat Commun. 7:12531.","27538456"
"2016","L36/12, N28/9","CNGA1 + CNGA3, VGlut1","Ying, G., et al. 2016. PLoS One. 11:e0161236.","27529348"
